year,avg_TN,avg_TX
1901,4.58,12.85
1902,4.14,12.21
1903,5.23,12.82
1904,4.75,12.76
1905,4.83,12.41
1906,5.13,13.03
1907,4.53,12.46
1908,4.35,12.43
1909,4.29,12.20
1910,5.49,13.22
1911,5.38,13.98
1912,5.12,12.98
1913,5.54,13.47
1914,5.41,13.65
1915,4.59,12.84
1916,5.23,12.94
1917,4.12,12.28
1918,5.08,13.26
1919,3.93,12.05
1920,4.92,13.50
1921,4.87,14.66
1922,3.89,12.24
1923,4.60,12.51
1924,4.55,12.33
1925,4.82,13.10
1926,5.69,13.32
1927,5.02,12.60
1928,4.87,13.41
1929,3.63,12.81
1930,5.56,13.76
1931,4.56,12.75
1932,5.13,13.28
1933,4.43,13.19
1934,5.70,14.27
1935,5.53,13.51
1936,5.26,13.33
1937,5.57,13.09
1938,5.40,13.50
1939,5.40,13.47
1940,3.75,12.02
1941,4.50,12.59
1942,4.11,12.12
1943,5.20,13.70
1944,5.50,13.14
1945,5.72,13.74
1946,4.99,12.83
1947,4.94,13.78
1948,5.50,13.82
1949,5.52,14.24
1950,5.30,12.93
1951,5.69,13.42
1952,4.84,12.76
1953,5.80,13.68
1954,5.22,12.69
1955,4.76,12.78
1956,4.29,11.93
1957,6.21,13.61
1958,5.81,12.96
1959,5.54,14.64
1960,5.97,13.38
1961,5.93,13.78
1962,4.28,11.84
1963,3.81,11.70
1964,4.99,13.11
1965,4.71,12.68
1966,5.63,13.14
1967,5.90,13.82
1968,5.41,12.90
1969,5.20,13.30
1970,5.14,13.06
1971,5.12,13.67
1972,4.90,12.80
1973,5.16,13.35
1974,5.64,13.64
1975,5.79,13.96
1976,5.51,14.25
1977,6.03,13.59
1978,5.36,12.63
1979,4.66,12.29
1980,5.40,13.03
1981,5.42,12.93
1982,5.89,14.21
1983,6.03,14.25
1984,5.67,13.34
1985,4.64,12.45
1986,4.77,13.22
1987,5.02,12.65
1988,6.64,14.03
1989,6.31,15.15
1990,6.60,15.00
1991,5.34,13.53
1992,6.61,14.41
1993,5.73,13.43
1994,6.58,14.50
1995,6.18,14.61
1996,4.36,12.55
1997,6.10,14.29
1998,6.65,14.10
1999,6.69,15.03
2000,6.95,14.67
2001,6.30,14.36
2002,6.44,14.84
2003,5.17,15.25
2004,5.97,14.48
2005,6.52,14.75
2006,7.02,15.28
2007,6.99,15.29
2008,6.40,14.58
2009,6.24,14.53
2010,4.88,13.00
2011,6.70,15.01
2012,6.22,14.26
2013,5.65,13.70
2014,7.56,15.70
2015,6.48,14.91
2016,6.46,14.70
2017,6.67,14.92
2018,6.69,15.76
2019,6.68,15.38
2020,7.13,15.81
2021,6.22,14.38
2022,6.57,15.96
2023,7.65,15.64
2024,7.71,15.63
2025,6.68,15.78
